"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Module","Owner","Preconditions","Priority","References","Release","Section","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","TC Status","Type","Updated By","Updated On"
"C11834946","Verify call in progress count is updated correctly after reset meter sys job is finished","Ravi Dhumal","4/26/2021 2:01 PM","","On a daily scheduler, the API count today: will be reset to 0","","Settings","Anton Samsonov","Login to manager and grab api details such as api count in progress.
/sl/manager.html?v=4fc0dd#settings

Example:
Total API limit (per day):	10000
Concurrent API limit:	100
API count today:	8
API calls in progress:	0


Reset Happens every day UTC time.","Critical","PSWAT-1302","4.25","Test Cases","","1. Create Triggered Task and Execute Task (cloud URL)
2. On the Settings page, check for the  for API count today
3. Verify scheduled sys job is finished it's execution (Daily)","","","","","","","Master","S1"," Manual","EndtoEnd","Anton Samsonov","1/31/2025 4:22 PM"
"C11851013","PSWAT-175: Account Validation for snaplexes","SriSwapna Pothana","6/16/2021 6:42 AM","","1) In the snaplex drop down- Verify the snaplexes presesnt at global shared/ local shared project are visible for selection.


2) In the snaplex drop down- Verify the snaplexes presesnt at global shared/ local shared/ project level are visible for selection. 



[ Initial issue as per the ticket PSWAT-175 is , plexes at local shared project are not visible in case2]  ",""," Assets->Accounts","Kranthi Poosala","Create a project space: Eg: PS1

create any project under projects space: Eg: Proj1


create an account in local shared project(PS1/shared) : Eg: sql account( which can validate)
create an account at project level (PS1/Proj1)) : Eg: sql account 

 



create snaplex at global shared level
create snaplex at local shared project (PS1/shared) 
create snaplex at project level 

","Medium","PSWAT-175","4.25-Patches","Test Cases","","1) Navigate to the sql account at local shared project level
Click on sql account
Try to Validate it and verify plexes in the drop down


2) Navigate to the sql account at  project level
Click on sql account
Try to Validate it and verify plexes in the drop down 



","","","","","","","Master","S1"," Automated","EndtoEnd","Gowri Sankar","1/15/2025 2:17 AM"
"C11855194","Verify Pipeline Execute Snap Execute On options - Groundplex","Poornima S","6/23/2021 3:35 PM","","",""," Pipe Execute Snap","Alexander Shostak","","High","","4.23","Test Cases","","","Create a child pipeline with mapperCreate a parent pipeline with Sequence snap and 3 pipe line execute snap.In the first PE snap select Execute On option as LOCAL_NODE. In the second PE snap select Execute On option as LOCAL_SNAPLEX. In the third PE snap select Execute On option as SNAPLEX_WITH_PATH. Choose the child pipeline created in Step 1. Save and Validate Run the pipeline
Expected Result:
Validation and pipeline run should succeed without any errors","","Validation and pipeline run should succeed without any errors","","","Create a child pipeline with mapperCreate a parent pipeline with Sequence snap and 3 pipe line execute snap.In the first PE snap select Execute On option as LOCAL_NODE. In the second PE snap select Execute On option as LOCAL_SNAPLEX. In the third PE snap select Execute On option as SNAPLEX_WITH_PATH. Choose the child pipeline created in Step 1. Save and Validate Run the pipeline","Master","S1"," Automated","API","Krishna Chaitanya","5/30/2024 4:46 AM"
"C11859746","verify number of input views in Views tab of snap is equal to that of them present in canvas panel","Raghuram Kappagantu","8/10/2021 12:37 PM","","Number of views should be equal","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify number of input views in Views tab of snap is equal to that of them present in canvas panel","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859747","verify number of input views in views tab of  snap is equal to that of them present in canvas panel after updating","Raghuram Kappagantu","8/10/2021 12:39 PM","","Number of views should be equal","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify number of input views in views tab of  snap is equal to that of them present in canvas panel after updating","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859748","verify minimum number of output views in views tab of  copy snap is equal to that of them present in canvas panel","Raghuram Kappagantu","8/10/2021 12:40 PM","","Views count should be equal","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify minimum number of output views in views tab of  copy snap is equal to that of them present in canvas panel","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859749","verify number of output views in views tab of snap is equal to that of them present in canvas panel after updating","Raghuram Kappagantu","8/10/2021 1:16 PM","","count should be same","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify number of output views in views tab of snap is equal to that of them present in canvas panel after updating","","","","","","","Master","S1"," Automated","EndtoEnd","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859750","verify number of output views in in views tab of Router snap is equal to that of them present in canvas panel by default","Raghuram Kappagantu","8/10/2021 1:23 PM","","view count should be same","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify number of output views in in views tab of Router snap is equal to that of them present in canvas panel by default","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859751","verify number of output views in Router snap is equal to that of them present in canvas panel after updating","Raghuram Kappagantu","8/10/2021 1:43 PM","","count should be same","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify number of output views in Router snap is equal to that of them present in canvas panel after updating","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859752","verify input type is changing to circle in canvas panel as soon as we changed the same in views tab","Raghuram Kappagantu","8/10/2021 1:45 PM","","verify input type is changing to circle in canvas panel as soon as we changed the same in views tab","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859753","verify input type is changing to Diamond in canvas panel as soon as we changed the same in views tab","Raghuram Kappagantu","8/10/2021 1:47 PM","","Input type should be in diamond shape","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify input type is changing to Diamond in canvas panel as soon as we changed the same in views tab","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859754","verify input type is changing to Diamond in canvas panel as soon as we changed the same in views tab for Pipeline Execute snap","Raghuram Kappagantu","8/10/2021 1:49 PM","","Input type should be changed to binary","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify input type is changing to Diamond in canvas panel as soon as we changed the same in views tab for Pipeline Execute snap","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859755","verify input type is changing from Diamond in canvas panel as soon as we changed the same in views tab","Raghuram Kappagantu","8/10/2021 1:54 PM","","","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify input type is changing to Diamond in canvas panel as soon as we changed the same in views tab","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859756","verify error view is present or not for Pipeline Execute Snap","Raghuram Kappagantu","8/10/2021 1:55 PM","","error view should be present","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify error view is present or not for Pipeline Execute Snap","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859757","verify error view is present or not for Mapper Snap","Raghuram Kappagantu","8/10/2021 1:58 PM","","error view should be present","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","verify error view is present or not for Mapper Snap","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11859758","verify whether Batch size field is present or not when ReUse execution check box is checked","Raghuram Kappagantu","8/10/2021 2:03 PM","","Batch size field should not be present","","Snap Popup","Kranthi Poosala","","Medium","","4.26","Test Cases","","","","","","","","","Master","S1"," Automated","UI","Kranthi Poosala","7/22/2024 12:55 AM"
"C11986217","Verify if once project space is restored it is not visible on Recycle Bin","Natasha Mahaldar","5/17/2022 7:41 AM","","The project space once restored should not be visible in recycle bin","","Project Spaces Management","Natasha Mahaldar","Project Space ABC should have been deleted 
Project space ABC should be now visible in Recycle Bin","Medium","","4.29.1.0","Test Cases","","1. Login to """"https://stage.elastic.snaplogicdev.com/"""" 
2. Go to recycle bin and restore project space ABC
3. Check if once the retore is complete, the project space is visible in recycle bin","","","","","","","Master","S1"," Automated","UI","Natasha Mahaldar","8/1/2024 5:34 AM"
"C11986218","Verify if once project is restored it is not visible on Recycle Bin","Natasha Mahaldar","5/17/2022 8:18 AM","","The project space once restored should not be visible in recycle bin","","Project Spaces Management","Natasha Mahaldar","Project Space ABC should have been deleted 
Project space ABC should be now visible in Recycle Bin","Medium","","4.29.1.0","Test Cases","","1. Login to """"https://stage.elastic.snaplogicdev.com/"""" 
2. Go to recycle bin and restore project space ABC
3. Check if once the retore is complete, the project space is visible in recycle bin","","","","","","","Master","S1"," Automated","UI","Natasha Mahaldar","8/1/2024 5:34 AM"
"C12000181","Check if the permissions gets inherited to shared folder correctly","Natasha Mahaldar","7/14/2022 3:14 AM","","The permissions should be migrated successfully","","Project Spaces Management","Natasha Mahaldar","1. User A should be an Org Admin
2. No permissions should be set for Project Space ABC
","Medium","","4.29.2.0","Test Cases","","1. Login as User A and go to """"""""Manager"""""""" page
2. Go to respective Project Space i.e (ABC) and click on Select (▼) drop down and select """"""""Permissions"""""""" from the menu
3. Enter the permission details and check  """"""""Propagate permissions"""""""" checkbox and check if the permissions added to shared folder","","","","","","","Master","S1"," Automated","UI","Natasha Mahaldar","8/1/2024 5:34 AM"
"C12042672","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:51 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042673","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:51 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                              
1)User can able to select the orgs from the drop down list in IIP/Studio from org selector","","Verify the following:      
                                              
1)User can able to select the orgs from the drop down list in IIP/Studio from org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042674","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:51 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                              
1)User can able to select the orgs from the drop down list in IIP/Studio from org selector","","Verify the following:      
                                              
1)User can able to select the orgs from the drop down list in IIP/Studio from org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042676","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:52 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042677","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:53 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042678","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:54 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042679","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:54 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042680","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:54 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042681","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:54 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042682","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:55 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042683","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:55 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042684","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:56 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042685","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 5:57 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042686","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 5:57 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042687","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 6:02 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042688","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 6:02 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042689","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 6:02 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042690","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 6:02 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042691","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 6:03 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042692","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 6:03 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042693","Verify that the data is displayed without any delay after selecting the org from the org selector","Adepu Anusha","8/18/2022 6:03 AM","","",""," New IIP Dashboard","Adepu Anusha","","Medium","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","Verify the following:      
                                     
1)User should not see any delay for data display after selecting the org from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"C12042694","Verify user can able to change the org from org selector","Adepu Anusha","8/18/2022 6:03 AM","","",""," New IIP Dashboard","Adepu Anusha","","High","","4.30.1.0","Test Cases","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio
Expected Result:
Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","Verify the following:                                                    

1)User can able to select the orgs from the drop down list in IIP/Studio from the org selector","","","1)Login to designer/studio                      

2)Navigate to the org selector dropdown in the IIP/Studio","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
